tenure_years,engagement_score,workload_index,manager_changes_12m,promotion_last_2y,remote_status,job_level,attrition_12m
4.57,90.1,69.0,2,0,Hybrid,Manager,0
3.83,93.6,48.2,0,0,Onsite,IC2,0
0.9,53.7,40.9,0,0,Onsite,IC2,0
10.06,80.8,100.0,1,1,Remote,Manager,0
2.44,57.9,45.1,1,0,Hybrid,IC2,1
1.21,71.1,59.8,3,1,Hybrid,IC3,0
5.29,50.2,31.1,1,0,Remote,Manager,0
3.32,59.0,60.1,0,1,Hybrid,IC2,0
4.28,58.5,41.2,0,0,Onsite,IC2,0
3.57,80.6,50.0,0,0,Hybrid,IC2,0
0.35,79.2,76.8,1,0,Hybrid,IC3,0
1.6,71.9,66.5,0,0,Hybrid,Manager,0
1.54,49.1,68.2,2,1,Remote,IC2,0
6.3,63.6,26.1,1,1,Onsite,IC3,0
3.41,57.6,91.1,1,0,Remote,IC2,0
4.76,80.2,36.5,0,1,Onsite,IC3,0
2.56,84.5,85.5,0,0,Hybrid,IC3,0
4.92,82.8,76.4,1,0,Hybrid,Manager,0
2.95,57.4,68.4,1,0,Hybrid,IC2,0
2.79,29.6,42.6,0,0,Remote,IC2,0
3.81,43.3,60.7,0,0,Hybrid,IC2,0
3.57,87.9,49.5,0,0,Onsite,IC1,0
14.97,62.4,58.5,0,0,Onsite,IC2,0
1.58,57.5,53.5,1,0,Remote,IC3,0
0.8,91.0,21.3,0,1,Hybrid,IC2,0
4.22,85.7,78.2,1,0,Onsite,IC2,0
1.78,68.3,56.5,0,0,Onsite,IC3,0
0.29,63.9,49.3,0,0,Hybrid,IC1,0
1.27,66.2,47.9,1,0,Remote,IC2,0
12.92,71.2,64.5,1,0,Onsite,Manager,0
1.54,90.4,41.9,1,0,Hybrid,IC1,0
0.54,73.9,17.4,1,0,Hybrid,IC2,0
12.41,78.2,65.3,0,0,Onsite,IC2,0
1.23,84.4,67.3,0,1,Remote,IC1,0
17.87,51.6,54.4,3,1,Onsite,IC2,0
2.47,78.6,37.3,1,0,Remote,IC1,0
10.09,63.9,59.6,0,1,Hybrid,IC2,0
2.74,32.8,31.6,1,1,Onsite,Manager,0
4.59,38.2,39.5,1,0,Onsite,IC2,0
3.0,53.7,44.5,0,0,Onsite,IC2,0
2.76,75.4,73.2,1,0,Onsite,IC2,0
3.97,69.6,51.5,0,0,Remote,Manager,0
4.71,70.6,49.9,0,0,Onsite,IC1,0
3.75,95.3,93.2,1,1,Onsite,IC3,0
3.47,50.2,64.3,0,0,Hybrid,IC2,0
1.8,67.6,64.1,3,0,Hybrid,Manager,0
3.09,72.3,51.3,0,0,Remote,IC2,0
9.27,57.7,47.3,1,0,Hybrid,IC1,0
1.73,68.4,18.6,2,0,Hybrid,IC2,0
4.05,45.6,75.4,0,1,Hybrid,IC1,1
7.45,87.7,66.1,1,0,Hybrid,IC3,0
4.73,58.5,54.8,0,0,Hybrid,IC3,0
6.35,96.4,55.5,1,0,Remote,IC3,0
1.21,67.5,71.3,3,0,Onsite,IC1,0
4.06,82.4,30.0,1,0,Hybrid,IC3,0
2.63,67.3,47.4,1,0,Remote,IC2,0
2.72,67.6,37.5,0,0,Remote,Manager,0
8.76,59.8,89.9,0,0,Onsite,IC3,0
2.76,69.7,73.8,5,1,Onsite,IC2,0
4.16,72.5,18.4,3,0,Remote,IC3,0
0.54,57.0,30.8,0,0,Remote,IC2,0
10.08,66.2,55.6,1,0,Hybrid,IC2,0
6.1,59.5,49.5,0,1,Remote,IC1,0
3.18,100.0,34.2,0,0,Hybrid,IC3,0
2.54,66.7,93.0,0,0,Remote,IC2,0
5.08,89.6,63.6,0,0,Hybrid,IC1,0
7.39,65.3,66.5,3,0,Hybrid,IC3,0
10.17,71.6,45.5,0,0,Hybrid,IC1,0
5.96,49.5,71.0,0,0,Hybrid,IC3,0
3.51,61.7,51.2,0,0,Remote,IC1,0
6.6,70.9,52.9,0,0,Remote,IC2,0
5.79,90.2,69.0,2,0,Remote,IC3,0
3.52,71.1,28.7,0,0,Remote,IC1,0
5.67,87.4,86.7,0,0,Onsite,IC3,0
5.6,77.0,61.3,0,0,Remote,IC3,0
3.16,90.8,81.1,0,0,Hybrid,IC3,0
2.17,67.2,38.6,1,0,Remote,IC1,0
5.27,100.0,41.4,1,0,Onsite,IC3,0
1.34,61.2,37.1,0,0,Onsite,IC2,0
1.08,57.3,62.5,0,0,Onsite,IC2,0
4.21,51.1,59.2,0,1,Hybrid,IC2,0
5.17,100.0,49.6,0,1,Onsite,IC2,0
4.18,79.5,39.7,1,0,Hybrid,IC2,0
4.52,63.3,35.2,2,0,Onsite,IC1,0
5.1,85.5,57.1,0,0,Onsite,IC2,0
8.78,77.6,49.6,0,0,Remote,IC3,0
6.03,95.5,45.7,0,0,Hybrid,IC2,0
5.91,46.3,85.8,1,1,Remote,IC1,0
3.97,64.3,56.5,0,1,Remote,IC2,0
4.08,61.5,80.9,0,0,Onsite,IC2,0
2.97,40.4,48.4,0,0,Remote,IC3,0
4.42,82.8,62.4,1,0,Hybrid,Manager,0
1.28,64.2,57.0,0,0,Onsite,IC2,0
8.81,78.4,27.4,0,0,Hybrid,IC3,0
1.63,100.0,83.7,1,1,Hybrid,IC1,0
6.02,63.1,55.6,1,1,Hybrid,Manager,0
8.08,62.1,71.4,0,0,Onsite,IC2,0
6.01,69.7,44.5,1,0,Remote,IC2,0
13.68,81.8,55.0,0,0,Remote,IC1,0
0.37,60.1,42.4,1,1,Hybrid,IC1,0
2.29,59.2,80.2,0,0,Onsite,IC3,0
7.99,82.8,63.6,1,0,Hybrid,IC2,0
1.03,73.3,64.6,0,0,Hybrid,IC2,0
1.67,39.4,82.4,0,0,Onsite,IC1,0
4.88,50.8,78.8,1,0,Remote,Manager,0
3.48,89.0,71.8,0,0,Remote,IC3,0
4.67,73.6,32.4,1,0,Hybrid,Manager,0
3.7,57.3,45.5,1,1,Remote,IC3,0
3.96,65.6,39.9,0,0,Remote,Manager,0
1.82,68.2,71.1,1,0,Hybrid,IC2,0
3.87,78.3,61.1,0,0,Hybrid,IC1,0
2.42,49.0,33.0,1,0,Hybrid,IC2,0
2.69,56.2,54.6,2,0,Hybrid,IC2,0
5.97,71.8,31.1,2,0,Hybrid,IC3,0
0.98,66.6,57.0,0,0,Hybrid,IC1,0
0.21,76.0,28.2,1,1,Onsite,IC1,0
5.67,50.8,67.5,0,0,Onsite,IC3,0
3.87,73.0,64.8,0,0,Hybrid,IC1,0
8.07,83.3,92.3,1,0,Onsite,IC1,0
1.72,74.8,73.3,1,0,Onsite,IC1,0
3.09,69.9,50.4,0,0,Remote,IC3,0
3.58,66.7,72.7,1,1,Onsite,IC1,0
2.02,56.3,32.8,0,1,Onsite,IC1,0
1.53,67.0,40.7,0,1,Hybrid,IC1,0
5.87,85.6,64.0,1,0,Remote,IC3,0
0.89,66.3,19.2,0,0,Hybrid,IC1,0
1.3,55.5,57.3,0,1,Hybrid,IC1,0
3.01,61.1,39.6,0,0,Hybrid,Manager,0
6.35,70.8,59.8,0,0,Hybrid,IC3,0
2.14,62.8,38.6,1,1,Remote,IC1,0
1.91,74.8,65.6,0,0,Remote,IC2,0
2.87,75.3,58.3,1,0,Onsite,IC1,0
4.36,80.4,83.2,0,1,Remote,IC3,0
2.52,87.9,58.1,0,0,Hybrid,IC2,0
6.92,81.9,44.2,0,0,Hybrid,Manager,0
7.12,54.9,53.6,1,0,Hybrid,IC3,0
3.01,55.4,33.8,0,1,Hybrid,IC2,0
11.33,66.9,65.3,0,0,Remote,IC1,0
3.52,61.7,68.6,0,0,Hybrid,Manager,0
6.96,52.1,100.0,0,0,Hybrid,IC3,1
4.27,61.8,46.8,0,0,Remote,IC3,0
4.21,61.4,53.2,1,0,Hybrid,IC1,0
0.68,58.6,47.6,2,0,Hybrid,IC3,1
1.2,63.6,61.8,3,0,Hybrid,IC3,0
2.63,84.5,64.9,0,0,Hybrid,Manager,0
7.08,70.8,57.0,0,0,Onsite,IC2,0
4.31,100.0,77.6,0,0,Remote,IC2,0
2.65,70.4,46.9,0,0,Remote,IC2,0
5.2,63.9,75.8,0,1,Hybrid,IC3,1
6.9,68.1,67.7,0,0,Hybrid,Manager,0
3.35,71.6,57.8,0,0,Onsite,IC2,0
3.94,74.1,52.3,2,0,Remote,IC1,0
3.58,97.1,100.0,0,0,Hybrid,IC1,0
3.19,56.2,43.3,2,0,Hybrid,IC3,0
1.7,80.0,63.4,1,0,Remote,IC3,0
1.58,70.9,44.5,0,0,Hybrid,IC1,0
5.18,46.0,90.1,2,0,Hybrid,IC2,0
6.99,78.8,74.0,0,1,Remote,Manager,0
2.65,85.7,45.8,0,0,Hybrid,IC2,0
2.6,56.0,67.2,0,0,Remote,IC1,0
0.49,67.9,62.6,2,0,Onsite,IC2,0
0.38,43.8,48.7,0,0,Remote,IC2,0
8.24,50.4,71.6,0,0,Remote,IC1,0
1.8,82.7,65.0,0,0,Remote,IC3,0
14.3,61.5,61.9,1,0,Remote,IC2,0
2.09,52.5,57.2,1,0,Remote,IC3,0
0.71,71.2,65.8,2,0,Hybrid,IC3,0
3.6,60.7,62.1,1,0,Remote,IC1,1
5.82,61.4,59.1,1,0,Hybrid,IC1,0
5.37,78.4,46.5,0,1,Remote,IC1,0
6.23,51.7,88.5,0,1,Hybrid,IC1,0
1.4,55.3,39.1,0,0,Remote,IC3,0
8.11,70.2,65.7,0,0,Hybrid,IC1,0
8.43,81.6,52.2,1,0,Hybrid,IC3,0
8.68,85.3,89.7,0,1,Hybrid,IC1,0
4.05,58.7,41.7,2,1,Remote,IC1,0
2.48,81.1,44.8,1,1,Onsite,IC1,0
2.3,57.0,40.5,0,0,Hybrid,IC2,0
0.7,93.6,63.8,1,0,Remote,IC3,0
2.13,52.1,33.3,0,1,Hybrid,IC3,0
0.19,86.6,49.4,0,0,Onsite,IC1,0
0.6,58.8,19.3,1,0,Hybrid,IC3,0
4.01,96.2,62.3,1,0,Hybrid,IC3,0
2.72,76.3,49.0,1,0,Hybrid,IC2,0
3.89,53.8,31.2,0,0,Remote,IC1,0
5.51,60.7,77.5,1,0,Onsite,IC1,0
4.43,78.9,34.5,0,1,Remote,IC1,0
4.16,82.7,72.3,0,1,Remote,Manager,0
3.11,67.0,45.4,0,1,Remote,IC2,0
1.74,68.6,86.8,0,0,Hybrid,IC2,0
1.04,78.6,71.5,1,0,Onsite,IC3,1
2.17,69.8,39.9,1,0,Onsite,IC2,0
3.15,49.9,41.5,0,1,Onsite,IC3,0
3.47,56.6,68.9,0,0,Hybrid,IC1,0
6.24,71.3,53.3,0,1,Hybrid,IC2,0
2.94,85.0,55.0,0,0,Hybrid,IC1,0
4.96,90.6,80.9,1,0,Remote,IC2,0
0.82,78.9,44.5,1,1,Onsite,IC2,0
4.06,72.0,59.6,0,0,Hybrid,IC3,0
3.85,78.5,75.2,0,1,Hybrid,IC3,0
8.11,58.7,72.6,0,0,Hybrid,IC3,0
2.72,65.9,55.1,2,0,Onsite,IC1,0
2.63,56.5,52.8,1,0,Remote,Manager,0
5.54,50.5,26.7,0,1,Hybrid,IC1,0
1.12,72.7,39.0,1,0,Hybrid,IC3,0
3.98,70.6,63.7,0,0,Onsite,IC3,0
1.07,77.6,55.5,3,1,Remote,IC2,0
10.59,75.6,59.3,1,0,Remote,IC2,0
2.35,71.4,76.7,0,1,Hybrid,IC3,0
1.0,75.8,36.6,0,1,Onsite,IC3,0
2.16,67.4,53.7,3,0,Onsite,IC1,0
4.0,73.8,61.4,0,0,Hybrid,IC3,0
4.85,57.8,45.3,0,0,Remote,IC1,0
7.83,73.2,83.8,1,0,Remote,IC2,0
1.94,77.4,74.4,0,0,Hybrid,IC3,0
5.72,58.6,63.2,1,1,Remote,IC3,0
0.6,68.7,90.3,1,0,Hybrid,IC2,1
1.31,59.3,31.0,1,0,Onsite,IC1,0
0.84,60.6,57.9,0,0,Hybrid,IC2,0
1.65,52.3,64.6,0,0,Hybrid,IC2,0
5.54,85.7,41.5,0,1,Remote,IC2,0
1.99,82.9,63.4,1,1,Remote,IC2,0
2.32,75.5,38.1,0,0,Hybrid,IC3,0
4.08,95.6,70.4,1,0,Hybrid,IC2,0
4.7,65.4,77.0,1,1,Remote,IC1,0
2.38,100.0,62.9,0,0,Remote,IC2,0
1.3,64.8,24.6,1,0,Remote,IC1,0
9.46,71.6,40.6,0,1,Hybrid,IC1,0
2.39,62.4,68.2,0,1,Hybrid,IC2,0
2.59,73.2,58.4,1,0,Hybrid,IC2,1
2.87,79.7,9.5,1,0,Hybrid,IC2,0
5.06,66.4,80.4,0,1,Remote,IC2,0
0.77,92.9,60.5,5,0,Hybrid,IC3,0
11.94,71.3,43.3,2,0,Remote,IC2,0
2.54,71.8,75.9,0,1,Onsite,IC2,0
5.19,55.3,45.8,1,0,Remote,IC1,0
1.01,73.9,45.6,1,0,Hybrid,IC1,0
3.78,66.1,64.5,0,0,Remote,IC2,0
10.74,59.5,90.1,1,0,Onsite,IC3,0
9.76,57.1,87.2,2,0,Remote,IC1,0
5.09,100.0,64.5,1,0,Onsite,IC1,0
1.56,64.3,66.3,2,0,Remote,IC2,0
7.55,47.6,72.2,1,1,Onsite,IC2,0
0.6,58.2,35.4,1,0,Hybrid,Manager,0
1.5,67.3,69.6,0,0,Remote,IC1,0
3.13,75.7,44.8,1,0,Remote,IC1,0
0.66,75.8,63.7,0,0,Hybrid,IC2,0
2.16,77.5,53.9,1,1,Onsite,IC1,0
5.8,59.0,67.0,1,0,Onsite,IC1,0
1.81,72.8,60.1,1,0,Remote,IC2,0
5.99,55.7,2.7,0,1,Hybrid,IC2,0
14.05,59.3,61.2,0,0,Remote,IC1,0
4.44,55.2,69.6,0,0,Remote,IC3,0
5.92,51.4,66.0,1,1,Hybrid,IC2,0
7.72,82.9,56.2,0,0,Hybrid,IC1,0
2.33,77.6,87.6,1,0,Remote,IC3,0
5.82,81.7,63.6,0,1,Onsite,IC2,0
2.28,68.6,65.9,0,1,Hybrid,Manager,0
4.21,78.9,76.8,0,0,Onsite,Manager,0
6.45,43.3,64.5,4,1,Remote,IC2,0
1.62,80.1,41.8,0,0,Onsite,IC1,0
0.21,70.5,14.1,2,0,Hybrid,IC3,0
1.48,76.8,49.4,0,1,Hybrid,IC2,0
7.11,73.3,71.7,2,0,Remote,IC1,0
1.32,54.2,51.6,1,1,Onsite,IC2,0
6.84,47.0,72.4,0,0,Hybrid,IC2,0
1.49,58.0,60.7,1,0,Onsite,IC3,0
2.79,75.9,81.2,1,0,Hybrid,IC3,0
3.3,77.7,52.7,0,1,Onsite,IC3,0
1.31,48.8,66.4,0,0,Hybrid,IC3,0
2.82,54.3,67.1,1,0,Onsite,IC3,0
0.71,57.9,85.0,0,0,Remote,IC2,0
2.51,63.0,27.3,1,0,Remote,Manager,0
3.09,48.9,49.7,0,0,Hybrid,Manager,0
0.23,48.1,73.3,0,0,Hybrid,IC3,0
1.47,56.5,85.8,1,0,Hybrid,IC3,0
4.12,69.2,62.3,1,0,Hybrid,IC2,0
1.17,51.5,52.7,2,0,Hybrid,IC2,0
4.63,66.4,71.6,0,0,Onsite,IC3,0
4.96,82.8,73.6,0,1,Hybrid,IC1,0
4.1,49.8,51.5,1,1,Onsite,IC1,0
5.77,65.1,63.9,0,0,Remote,IC2,0
0.66,82.3,79.2,2,0,Hybrid,IC2,0
6.65,62.1,92.0,1,0,Onsite,IC2,0
1.33,60.0,71.4,1,1,Remote,IC1,0
3.6,84.3,58.8,0,0,Hybrid,IC1,0
10.46,63.7,57.0,1,0,Hybrid,IC1,0
2.46,83.5,68.0,0,1,Hybrid,IC2,0
3.36,74.0,55.9,1,0,Hybrid,IC1,0
1.34,63.2,61.4,0,0,Remote,IC3,0
10.39,74.7,39.0,1,0,Onsite,IC2,0
1.48,72.5,81.3,1,0,Remote,IC2,0
5.27,82.3,37.5,1,0,Hybrid,IC2,0
7.71,60.3,50.2,0,1,Hybrid,IC2,0
5.63,68.6,59.8,0,0,Remote,IC3,1
4.29,67.1,93.8,0,0,Remote,IC1,0
3.55,77.9,50.4,1,1,Onsite,IC2,0
1.0,53.6,46.0,2,1,Hybrid,IC3,0
10.09,82.2,48.1,1,0,Remote,IC1,0
4.04,74.5,87.9,0,0,Onsite,IC3,0
3.36,49.6,7.4,1,0,Hybrid,Manager,0
1.23,84.9,40.0,2,0,Remote,IC3,0
3.49,99.3,100.0,0,0,Hybrid,Manager,0
3.2,82.0,68.6,0,0,Hybrid,IC2,0
10.46,88.0,38.1,2,1,Remote,IC2,0
3.36,69.2,57.2,1,0,Onsite,IC1,0
3.45,44.7,59.2,1,0,Hybrid,IC1,1
1.25,42.2,73.2,0,0,Hybrid,IC2,0
1.75,71.6,91.1,0,1,Remote,IC2,1
4.84,59.7,65.0,0,0,Onsite,IC2,0
0.52,55.2,48.3,0,0,Hybrid,IC1,0
6.62,67.1,72.2,0,0,Onsite,IC3,0
6.75,76.6,45.4,0,0,Remote,IC1,0
1.59,47.7,39.4,0,0,Onsite,IC2,0
4.3,61.7,26.3,0,1,Hybrid,IC1,0
7.88,89.1,29.8,2,0,Hybrid,IC3,0
3.0,52.9,41.9,1,0,Remote,IC2,0
2.58,80.2,36.8,1,0,Onsite,IC3,0
2.84,61.2,63.6,0,0,Remote,IC1,0
4.03,75.6,36.4,3,0,Hybrid,IC2,0
1.96,83.4,1.4,0,0,Hybrid,Manager,0
2.4,78.4,39.2,1,0,Remote,IC1,0
4.09,80.7,49.5,2,0,Onsite,IC2,0
2.24,51.9,47.1,0,1,Onsite,IC1,0
1.14,83.6,85.4,0,0,Hybrid,IC1,0
0.47,56.1,47.0,0,1,Hybrid,IC2,0
3.41,71.6,73.9,2,0,Hybrid,IC1,0
7.55,71.6,57.7,1,0,Hybrid,IC2,0
4.46,74.8,57.2,1,0,Remote,Manager,0
1.19,72.7,43.0,2,0,Hybrid,IC1,0
1.74,56.2,56.9,1,1,Hybrid,IC1,0
2.56,49.1,44.2,0,0,Hybrid,IC3,0
10.68,80.2,61.1,3,0,Hybrid,IC2,0
11.07,70.6,53.7,2,1,Remote,Manager,0
10.22,84.1,41.0,0,0,Onsite,IC2,0
3.68,67.4,75.9,0,0,Remote,IC3,0
18.0,48.3,65.7,1,0,Remote,Manager,0
1.82,81.5,49.9,0,1,Hybrid,IC1,0
2.48,62.8,60.6,0,0,Hybrid,IC3,0
6.27,72.8,56.5,1,0,Remote,IC3,0
4.11,58.9,42.4,4,1,Hybrid,IC3,0
4.28,91.0,59.3,1,0,Hybrid,IC1,0
1.39,55.7,46.8,1,1,Remote,IC2,0
3.18,63.3,41.0,2,1,Onsite,IC1,0
1.84,69.5,28.8,1,0,Hybrid,Manager,0
0.93,52.7,51.5,0,1,Hybrid,IC1,0
2.04,72.6,68.2,0,0,Remote,IC1,0
4.11,90.6,45.5,0,0,Hybrid,Manager,0
5.57,61.1,100.0,2,0,Onsite,IC2,0
0.45,73.5,73.9,2,0,Remote,IC2,0
3.3,29.5,81.5,0,0,Remote,IC2,1
3.07,67.5,72.3,1,0,Hybrid,IC3,0
3.95,63.6,91.4,1,0,Remote,IC1,0
1.21,56.5,43.8,1,0,Onsite,IC2,0
1.23,83.1,11.9,0,0,Hybrid,IC2,0
7.69,63.4,50.0,1,1,Hybrid,IC2,0
1.61,65.5,68.0,0,0,Onsite,IC2,0
2.39,62.7,60.7,1,0,Onsite,IC1,0
2.59,41.2,63.0,0,0,Onsite,IC3,0
1.87,52.2,81.8,0,0,Hybrid,IC1,1
4.73,81.5,64.9,1,0,Hybrid,IC2,0
4.44,38.5,72.4,0,0,Hybrid,IC2,0
2.97,57.3,41.1,0,0,Hybrid,IC2,0
1.97,62.4,38.3,0,1,Hybrid,IC3,0
2.78,92.4,87.1,1,0,Remote,IC2,0
3.52,78.8,59.8,0,0,Hybrid,IC3,0
1.74,60.2,46.8,1,0,Hybrid,IC3,0
4.98,86.3,46.8,0,0,Hybrid,IC3,0
6.59,57.6,46.3,2,0,Remote,IC3,0
8.59,82.1,45.2,0,0,Hybrid,IC1,0
8.24,49.0,34.9,0,0,Hybrid,Manager,0
2.58,83.0,31.0,0,0,Hybrid,IC3,0
3.65,62.3,54.5,1,0,Hybrid,IC2,0
2.92,53.6,47.3,2,0,Remote,IC1,0
2.91,65.0,77.9,1,1,Remote,IC1,0
2.77,71.9,63.3,0,0,Hybrid,IC3,0
3.35,61.1,62.8,1,0,Remote,IC2,0
7.34,75.8,44.6,1,0,Hybrid,IC3,0
4.2,59.8,55.8,0,0,Onsite,IC2,0
1.16,76.7,64.5,1,0,Remote,IC2,1
6.4,74.2,70.9,1,0,Hybrid,IC1,0
3.91,67.1,56.3,0,0,Hybrid,IC1,0
4.77,61.8,77.4,0,0,Hybrid,IC1,0
4.14,70.1,58.1,1,0,Remote,IC3,0
4.28,75.7,72.3,1,0,Remote,IC2,0
4.42,96.9,49.2,0,0,Onsite,Manager,0
0.57,81.2,25.4,0,0,Remote,IC3,0
4.72,81.7,62.8,0,0,Hybrid,IC3,0
1.81,100.0,71.1,1,0,Onsite,IC2,0
2.23,75.2,68.4,1,0,Remote,IC3,0
3.33,74.8,65.6,1,0,Hybrid,Manager,0
9.49,77.9,51.7,2,1,Remote,IC3,0
1.36,53.9,43.5,1,0,Hybrid,IC1,0
3.24,61.8,67.9,0,0,Hybrid,IC3,0
2.72,60.9,65.7,1,0,Onsite,IC1,0
6.33,77.1,47.9,4,0,Remote,IC1,0
2.66,65.6,78.0,1,0,Remote,IC3,0
3.94,69.9,42.1,0,0,Onsite,IC3,0
1.36,83.2,47.5,0,1,Remote,IC1,0
7.08,80.1,87.5,0,0,Onsite,IC1,0
0.85,65.7,73.6,2,1,Hybrid,Manager,0
4.68,58.6,51.6,0,0,Hybrid,IC1,0
3.96,83.9,63.2,1,0,Onsite,IC1,0
4.4,78.8,60.8,2,0,Hybrid,IC3,0
0.86,45.5,8.6,0,0,Remote,IC3,0
2.61,63.6,41.7,0,0,Onsite,IC2,0
6.12,70.3,57.1,0,0,Onsite,IC2,0
10.44,78.9,51.6,0,0,Onsite,IC2,0
3.06,80.7,62.4,0,0,Hybrid,IC1,0
5.73,72.0,78.3,0,0,Hybrid,IC3,0
3.68,76.2,52.2,0,0,Hybrid,IC3,1
3.18,68.9,39.0,0,0,Remote,IC2,0
2.37,58.6,63.8,1,1,Hybrid,IC2,0
3.34,64.3,52.1,1,0,Hybrid,IC2,0
5.38,68.3,55.2,0,0,Hybrid,IC1,0
5.69,67.5,52.7,0,0,Hybrid,IC2,0
1.05,41.6,98.4,1,0,Hybrid,IC1,0
2.2,62.4,17.7,1,0,Hybrid,IC3,0
1.3,68.8,51.0,1,0,Hybrid,IC2,0
3.47,64.1,57.9,0,0,Onsite,IC3,0
